Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Volatility;Transaction Volume;Transactions Count
2021-04-03;6.26;6.49;5.21;5.41;1630000000.0;5630000000.0;952199850.16;7931;1.26;191000000.0;2414437
2021-04-04;5.41;6.30;5.33;6.28;1020000000.0;5570000000.0;952228012.6;7171;1.35;233000000.0;2488876
2021-04-05;6.29;7.07;5.83;6.70;3000000000.0;6130000000.0;952256637.08;9953;1.42;469000000.0;2557570
2021-04-06;6.70;7.09;6.19;6.64;1920000000.0;6330000000.0;952283856.6;7936;1.42;312000000.0;2274146
2021-04-07;6.65;7.05;5.73;5.88;2280000000.0;6010000000.0;952311987.85;7436;1.49;361000000.0;1865345
2021-04-08;5.89;6.47;5.80;6.44;913000000.0;5890000000.0;952339869.12;6973;1.49;208000000.0;2679141
2021-04-09;6.44;6.60;6.07;6.20;307000000.0;6020000000.0;952368159.95;15343;1.5;138000000.0;2665594
2021-04-10;6.22;6.76;6.15;6.61;398000000.0;6150000000.0;952397595.69;6978;1.5;143000000.0;3073758
2021-04-11;6.61;7.06;6.55;6.72;1220000000.0;6480000000.0;952425026.8;5988;1.48;230000000.0;2544155
2021-04-12;6.74;6.86;6.29;6.48;692000000.0;6270000000.0;952453364.96;6743;1.45;191000000.0;2591761
2021-04-13;6.48;7.55;6.42;7.38;700000000.0;6750000000.0;952481697.41;7463;1.46;377000000.0;3451678
2021-04-14;7.39;8.09;7.04;7.67;1130000000.0;7270000000.0;952510039.59;7784;1.45;472000000.0;2890958
2021-04-15;7.67;7.93;7.28;7.89;849000000.0;7270000000.0;952537241.51;6979;1.44;257000000.0;1897315
2021-04-16;7.90;8.75;7.08;8.51;1400000000.0;7600000000.0;952565368.65;16674;1.44;463000000.0;3114446
2021-04-17;8.51;8.85;7.61;7.79;972000000.0;7860000000.0;952593497.92;7271;1.5;393000000.0;3482290
2021-04-18;7.79;7.94;5.90;7.30;1070000000.0000001;6510000000.0;952621627.58;624;1.59;291000000.0;2891799
2021-04-19;7.30;7.51;6.50;6.60;821000000.0;6710000000.0;952649757.19;7228;1.55;276000000.0;3237925
2021-04-20;6.61;6.86;6.06;6.70;1260000000.0;6140000000.0;952677888.65;6137;1.56;208000000.0;3388533
